MMSI #,Label,Owner,Vessel Name,Vessel length (m),IMO registration #,Call Sign,2013,2014,2015,2014 Location Log,2015 Location Log,Other Notes,"columns G, H, I are for Listed in Offshore Magazine Vessel Survey?"
372334000,seismic vessel,Marine Arctic Geological Expedition (MAGE),Nikolay Trubyatchinsky,65,8705010,3FEW6,N,N,Y,May: Northern Europe,"June: Western Europe
September: Northern Europe
November: Western Europe",Name in VesselTracker is Nikolay Trubyatchins,
372564000,seismic vessel,Fugro Survey Africa (Pty) Ltd,Geo Endeavor,45.7,8409927,HO2522,Y,Y,N,October: West Africa,March: Mediterranean Sea,Equasis indicates this vessel was broken up in April 2015,
372620000,seismic vessel,CGG,Oceanic Endeavour,107,9399521,3EJQ7 ,Y,Y,N,December: West Africa,n/a,,
372698000,seismic vessel,Fugro NV,Fugro Discovery,70,9152882,3EKE6,Y,Y,Y,"March-July: Northern Europe, Western Europe
August: South Africa, West Africa
October: Australia, New Zealand",n/a,Owned by Fugro Survey Ltd. 2013-14,
374283000,seismic vessel,"China Oilfield Services, Ltd.",Hai Yang Shi You 718,78,9250452,3EXP9,Y,Y,Y,n/a,n/a,MMSI number was 412301240 in 2014,
412301230,seismic vessel,"China Oilfield Services, Ltd.",Hai Yang Shi You 719,80,9250440,BFNG,Y,Y,Y,"April: East Asia, Southeast Asia
May: Southeast Asia
June: East Asia
August: East Asia, Southeast Asia","May-June: East Asia, Southeast Asia",,
412461390,seismic vessel,"China Oilfield Services, Ltd.",Nan Hai 502,66,7804807,BXNA,Y,Y,Y,n/a,n/a,,
412901000,seismic vessel,"China Oilfield Services, Ltd.",Bin Hai 511,81,7800277,BFLH,Y,Y,Y,n/a,n/a,,
412902000,seismic vessel,"China Oilfield Services, Ltd.",Bin Hai 512,79,7800289,BFLG,Y,Y,N,n/a,n/a,,
412971000,seismic vessel,"China Oilfield Services, Ltd.",Bin Hai 517,60,9181780,BFKT,Y,Y,Y,n/a,"June: Southeast Asia
July: East Asia",,
412974000,seismic vessel,"China Oilfield Services, Ltd.",Dong Fang Ming Zhu,79,8883032,BFKL,Y,Y,Y,n/a,July: Gulf of Mexico,,
413300120,seismic vessel,BGP Marine,Dong Fang Kan Tan No. 1 (BGP Surveyor),65.8,9417385,BFEJ,N,Y,Y,"January: Australia, East Asia, New Guinea, Southeast Asia
October: South Asia, Southeast Asia, Singapore
November: Mediterranean Sea","April: Gulf of Mexico, West Africa, Western Europe
October: West Africa
November: Mediterranean Sea, South Asia",VesselTracker lists length as 62m,
413300130,seismic vessel,BGP Marine,Dong Fang Kan Tan No. 2 (BGP Researcher),65.8,9397418,BFEK,Y,Y,Y,"May: East Asia, Indonesia
August-October: East Asia, Mediterranean Sea
November: Mediterranean Sea","May: East Asia, Mediterranean Sea
August-October: Mediterranean Sea, Southeast Asia, Singapore
November: East Asia, Mediterranean Sea
",,
413302640,seismic vessel,"China Oilfield Services, Ltd.",Hai Yang Shi You 720,107,9567829,BFAQ5,Y,Y,Y,n/a,n/a,,
413303010,seismic vessel,"China Oilfield Services, Ltd.",Hai Yang Shi You 708,105,9576480,BFDL,Y,Y,Y,n/a,n/a,VesselTracker lists length as 105m,
413305080,seismic vessel,"China Oilfield Services, Ltd.",Hai Yang Shi You 707,80,9740718,BSES,N,N,Y,n/a,May: East Asia,Vessel launched December 2014,
413305430,seismic vessel,"China Oilfield Services, Ltd.",Hai Yan Shi You 770,n/a,9739068,BFBJ8 ,N,N,Y,n/a,n/a,Vessel launched May 2015,
413305460,seismic vessel,"China Oilfield Services, Ltd.",Hai Yan Shi You 760,88,9778167,BSEZ,N,N,Y,n/a,November: East Asia,Vessel launched June 2015,
419006700,seismic vessel,Fugro NV,MV Flamboyan,39,8223256,VWTH,Y,Y,Y,October: South Asia,n/a,Owned by Fugro Survey Pte Ltd (Singapore) 2013-14,
436000013,seismic vessel,Caspian Services Group Ltd,Caspian Maria,53,9195183,UNM,N,N,Y,November: Kazakhstan,n/a,,
436000029,seismic vessel,Caspian Services Group Ltd,Caspian Galiya,12.5,8829763,UOC,Y,Y,N,n/a,n/a,VesselTracker lists length as 48m,
436000037,seismic vessel,Caspian Services Group Ltd,Coastal Bigfoot,35,8898544,UOK,Y,Y,Y,"October: Mediterranean Sea
December: Kazakhstan",n/a,VesselTracker lists length as 54m,
436000229,seismic vessel,Caspian Services Group Ltd,Plover (x6),13,8218976 ,UNDI,N,N,Y,n/a,n/a,VesselTracker lists length as 60m,
508027000,seismic vessel,Fugro Survey Pte Ltd (Singapore),Amarco Tiger,53,7381647,V8V2197,Y,Y,N,n/a,n/a,,
525005259,seismic vessel,Fugro NV,Fugro Supporter,75.4,8518364,JZKY,Y,Y,Y,"March: Australia, New Zealand
July: Southeast Asia
August: Java Sea
September: Australia, New Zealand, Southeast Asia
November-December: Singapore","January: Benoa
February: Australia, New Zealand
May: Southeast Asia, Benoa
June: Australia, New Zealand, Benoa
July: Southeast Asia, Benoa
September: Singapore
October: Belawan
November: South Asia, Belawan",Owned by Fugro Survey Pte Ltd (Singapore) 2013-14,
525015926,seismic vessel,CGG,Pacific Finder,68,9548495,POFK,Y,Y,N,"April: South Africa
May: West Africa
July: South Africa
August: East Africa, Southeast Asia
September-December: Singapore","January: Singapore
February: South Asia, Singapore
April: Southeast Asia, Singapore
May: Java Sea
June: Benoa
July-September: Singapore
October: Australia, New Zealand, Singapore",Formerly known as Elnusa Finder,
525015982,seismic vessel,Sea Bird Exploration,BNI Geo Mariner,38.2,7803126,POSI,N,Y,N,"June-August: Jakarta, Java Sea",n/a,,
533130951,seismic vessel,Gardline,Tridens 1/Ag Surveyor,57.9,6812833,9MQE5,Y,Y,Y,n/a,n/a,Name changed to Ag Surveyor,
538002914,seismic vessel,Sea Bird Exploration,Geo Pacific,82,8408973,V7MV9,Y,N,N,January: West Africa,"February: Western Europe
March: Northern Europe",,
563045000,seismic vessel,REFLECT Geophysical Pte. Ltd.,Reflect Scorpio,64.4,8208385,9V5935,Y,N,N,n/a,n/a,,
565799000,seismic vessel,PGS,Ramform Sovereign,102.2,9390460,9VBN9,Y,Y,Y,"January: Western Europe
February: Northern Europe
March-September: Northern Europe, Western Europe
October: Australia, New Zealand, South Africa, West Africa","April: Southeast Asia, Singapore
September: Java Sea, Singapore
November: Malacca Strait",,
574001490,seismic vessel,CGG,CGG Amadeus,84,9174933,3WHD9,Y,Y,N,n/a,March: Singapore,,
576250000,seismic vessel,FairfieldNodal,Pacific Explorer,91.4,8212829,YJZW5,N,N,Y,n/a,n/a,,
577318000,seismic vessel,CGG,Princess/MGS Sagar,76,8501074,YJUP4,Y,Y,N,"February: South Asia
March: South Africa
May: West Africa
July: Northern Europe, Western Europe
August: Western Europe",October: South Asia,This vessel was renamed MGS Sagar in August 2014.,
636013688,seismic vessel,CGG,Geowave Voyager,93,9381299,A8OR3,Y,Y,N,"January-April: Gulf of Mexico
","May: West Africa
July: Mediterranean Sea, West Africa",,
710000340,seismic vessel,Unknown,Fugro Odyssey/Inspector I,39.9,5428439,PPPS,Y,Y,N,n/a,n/a,"Owned by Fairfield Nodal in 2013
Owned by Fugro Brasil Submarinos e Levantamentos Ltda. 2014
Decommissioned?",
